origColNum,origColName,tidyColName
1,tBodyAcc-mean()-X,tBodyAccMeanX
2,tBodyAcc-mean()-Y,tBodyAccMeanY
3,tBodyAcc-mean()-Z,tBodyAccMeanZ
4,tBodyAcc-std()-X,tBodyAccStdX
5,tBodyAcc-std()-Y,tBodyAccStdY
6,tBodyAcc-std()-Z,tBodyAccStdZ
41,tGravityAcc-mean()-X,tGravityAccMeanX
42,tGravityAcc-mean()-Y,tGravityAccMeanY
43,tGravityAcc-mean()-Z,tGravityAccMeanZ
44,tGravityAcc-std()-X,tGravityAccStdX
45,tGravityAcc-std()-Y,tGravityAccStdY
46,tGravityAcc-std()-Z,tGravityAccStdZ
81,tBodyAccJerk-mean()-X,tBodyAccJerkMeanX
82,tBodyAccJerk-mean()-Y,tBodyAccJerkMeanY
83,tBodyAccJerk-mean()-Z,tBodyAccJerkMeanZ
84,tBodyAccJerk-std()-X,tBodyAccJerkStdX
85,tBodyAccJerk-std()-Y,tBodyAccJerkStdY
86,tBodyAccJerk-std()-Z,tBodyAccJerkStdZ
121,tBodyGyro-mean()-X,tBodyGyroMeanX
122,tBodyGyro-mean()-Y,tBodyGyroMeanY
123,tBodyGyro-mean()-Z,tBodyGyroMeanZ
124,tBodyGyro-std()-X,tBodyGyroStdX
125,tBodyGyro-std()-Y,tBodyGyroStdY
126,tBodyGyro-std()-Z,tBodyGyroStdZ
161,tBodyGyroJerk-mean()-X,tBodyGyroJerkMeanX
162,tBodyGyroJerk-mean()-Y,tBodyGyroJerkMeanY
163,tBodyGyroJerk-mean()-Z,tBodyGyroJerkMeanZ
164,tBodyGyroJerk-std()-X,tBodyGyroJerkStdX
165,tBodyGyroJerk-std()-Y,tBodyGyroJerkStdY
166,tBodyGyroJerk-std()-Z,tBodyGyroJerkStdZ
201,tBodyAccMag-mean(),tBodyAccMagMean
202,tBodyAccMag-std(),tBodyAccMagStd
214,tGravityAccMag-mean(),tGravityAccMagMean
215,tGravityAccMag-std(),tGravityAccMagStd
227,tBodyAccJerkMag-mean(),tBodyAccJerkMagMean
228,tBodyAccJerkMag-std(),tBodyAccJerkMagStd
240,tBodyGyroMag-mean(),tBodyGyroMagMean
241,tBodyGyroMag-std(),tBodyGyroMagStd
253,tBodyGyroJerkMag-mean(),tBodyGyroJerkMagMean
254,tBodyGyroJerkMag-std(),tBodyGyroJerkMagStd
266,fBodyAcc-mean()-X,fBodyAccMeanX
267,fBodyAcc-mean()-Y,fBodyAccMeanY
268,fBodyAcc-mean()-Z,fBodyAccMeanZ
269,fBodyAcc-std()-X,fBodyAccStdX
270,fBodyAcc-std()-Y,fBodyAccStdY
271,fBodyAcc-std()-Z,fBodyAccStdZ
294,fBodyAcc-meanFreq()-X,fBodyAccMeanFreqX
295,fBodyAcc-meanFreq()-Y,fBodyAccMeanFreqY
296,fBodyAcc-meanFreq()-Z,fBodyAccMeanFreqZ
345,fBodyAccJerk-mean()-X,fBodyAccJerkMeanX
346,fBodyAccJerk-mean()-Y,fBodyAccJerkMeanY
347,fBodyAccJerk-mean()-Z,fBodyAccJerkMeanZ
348,fBodyAccJerk-std()-X,fBodyAccJerkStdX
349,fBodyAccJerk-std()-Y,fBodyAccJerkStdY
350,fBodyAccJerk-std()-Z,fBodyAccJerkStdZ
373,fBodyAccJerk-meanFreq()-X,fBodyAccJerkMeanFreqX
374,fBodyAccJerk-meanFreq()-Y,fBodyAccJerkMeanFreqY
375,fBodyAccJerk-meanFreq()-Z,fBodyAccJerkMeanFreqZ
424,fBodyGyro-mean()-X,fBodyGyroMeanX
425,fBodyGyro-mean()-Y,fBodyGyroMeanY
426,fBodyGyro-mean()-Z,fBodyGyroMeanZ
427,fBodyGyro-std()-X,fBodyGyroStdX
428,fBodyGyro-std()-Y,fBodyGyroStdY
429,fBodyGyro-std()-Z,fBodyGyroStdZ
452,fBodyGyro-meanFreq()-X,fBodyGyroMeanFreqX
453,fBodyGyro-meanFreq()-Y,fBodyGyroMeanFreqY
454,fBodyGyro-meanFreq()-Z,fBodyGyroMeanFreqZ
503,fBodyAccMag-mean(),fBodyAccMagMean
504,fBodyAccMag-std(),fBodyAccMagStd
513,fBodyAccMag-meanFreq(),fBodyAccMagMeanFreq
516,fBodyBodyAccJerkMag-mean(),fBodyAccJerkMagMean
517,fBodyBodyAccJerkMag-std(),fBodyAccJerkMagStd
526,fBodyBodyAccJerkMag-meanFreq(),fBodyAccJerkMagMeanFreq
529,fBodyBodyGyroMag-mean(),fBodyGyroMagMean
530,fBodyBodyGyroMag-std(),fBodyGyroMagStd
539,fBodyBodyGyroMag-meanFreq(),fBodyGyroMagMeanFreq
542,fBodyBodyGyroJerkMag-mean(),fBodyGyroJerkMagMean
543,fBodyBodyGyroJerkMag-std(),fBodyGyroJerkMagStd
552,fBodyBodyGyroJerkMag-meanFreq(),fBodyGyroJerkMagMeanFreq
